time,value
1613358900.0,18.6
1613359800.0,18.7
1613360700.0,18.7
1613361600.0,18.6
1613362500.0,18.5
1613363400.0,18.5
1613364300.0,18.4
1613365200.0,18.6
1613366100.0,19.3
1613367000.0,19.3
1613367900.0,19.1
1613368800.0,18.9
1613369700.0,18.4
1613370600.0,18.4
1613371500.0,18.1
1613372400.0,17.6
1613373300.0,17.3
1613374200.0,17.3
1613375100.0,17.4
1613376000.0,17.8
1613376900.0,17.5
1613377800.0,17.3
1613378700.0,17.3
1613379600.0,17.2
1613380500.0,17.1
1613381400.0,16.9
1613382300.0,17.2
1613383200.0,17.0
1613384100.0,17.4
1613385000.0,17.6
1613385900.0,17.6
1613386800.0,17.7
1613387700.0,17.7
1613388600.0,17.9
1613389500.0,17.9
1613390400.0,17.9
1613391300.0,17.9
1613392200.0,17.9
1613393100.0,18.0
1613394000.0,17.9
1613394900.0,18.0
1613395800.0,18.1
1613396700.0,18.1
1613397600.0,17.9
1613398500.0,18.0
1613399400.0,18.3
1613400300.0,18.3
1613401200.0,17.6
1613402100.0,17.4
1613403000.0,17.3
1613403900.0,17.1
1613404800.0,16.9
1613405700.0,17.0
1613406600.0,16.9
1613407500.0,16.9
1613408400.0,17.2
1613409300.0,17.1
1613410200.0,16.9
1613411100.0,17.8
1613412000.0,17.6
1613412900.0,17.6
1613413800.0,17.5
1613414700.0,17.5
1613415600.0,17.4
1613416500.0,17.0
1613417400.0,16.9
1613418300.0,17.0
1613419200.0,16.7
1613420100.0,17.3
1613421000.0,17.5
1613421900.0,17.6
1613422800.0,17.7
1613423700.0,17.8
1613424600.0,17.9
1613425500.0,18.2
1613426400.0,17.8
1613427300.0,17.7
1613428200.0,17.7
1613429100.0,18.3
1613430000.0,18.1
1613430900.0,17.7
1613431800.0,18.0
1613432700.0,18.0
1613433600.0,18.2
1613434500.0,18.5
1613435400.0,18.5
1613436300.0,18.6
1613437200.0,18.6
1613438100.0,18.7
1613439000.0,18.7
1613439900.0,18.7
1613440800.0,18.7
1613441700.0,18.7
1613442600.0,18.7
1613443500.0,18.7
1613444400.0,18.7
1613445300.0,18.7
1613446200.0,18.8
1613447100.0,18.7
1613448000.0,18.7
1613448900.0,18.6
1613449800.0,18.5
1613450700.0,18.4
1613451600.0,18.2
1613452500.0,19.5
1613453400.0,19.4
1613454300.0,19.2
1613455200.0,19.1
1613456100.0,18.8
1613457000.0,18.6
1613457900.0,18.2
1613458800.0,17.8
1613459700.0,17.4
1613460600.0,17.5
1613461500.0,17.7
1613462400.0,17.8
1613463300.0,17.9
1613464200.0,17.7
1613465100.0,17.7
1613466000.0,17.6
1613466900.0,17.4
1613467800.0,17.6
1613468700.0,17.8
1613469600.0,17.7
1613470500.0,17.7
1613471400.0,17.7
1613472300.0,17.7
1613473200.0,18.0
1613474100.0,18.3
1613475000.0,18.4
1613475900.0,18.2
1613476800.0,18.2
1613477700.0,18.3
1613478600.0,18.1
1613479500.0,18.2
1613480400.0,18.2
1613481300.0,18.2
1613482200.0,18.3
1613483100.0,18.3
1613484000.0,18.7
1613484900.0,18.6
1613485800.0,18.7
1613486700.0,18.8
1613487600.0,18.7
1613488500.0,18.7
1613489400.0,18.5
1613490300.0,18.5
1613491200.0,18.6
